drug_name,category
tolbutamide,Sulfonylureas
glibornuride,Sulfonylureas
tolazamide,Sulfonylureas
carbutamide,Sulfonylureas
glipizide,Sulfonylureas
gliquidone,Sulfonylureas
gliclazide,Sulfonylureas
metahexamide,Sulfonylureas
glisoxepide,Sulfonylureas
glimepiride,Sulfonylureas
acetohexamide,Sulfonylureas
glymidine,Sulfonamides (heterocyclic)
phenformin and sulfonylureas,Combinations of oral blood glucose lowering drugs
metformin and sulfonylureas,Combinations of oral blood glucose lowering drugs
metformin and rosiglitazone,Combinations of oral blood glucose lowering drugs
glimepiride and rosiglitazone,Combinations of oral blood glucose lowering drugs
metformin and pioglitazone,Combinations of oral blood glucose lowering drugs
glimepiride and pioglitazone,Combinations of oral blood glucose lowering drugs
metformin and sitagliptin,Combinations of oral blood glucose lowering drugs
metformin and vildagliptin,Combinations of oral blood glucose lowering drugs
pioglitazone and alogliptin,Combinations of oral blood glucose lowering drugs
metformin and saxagliptin,Combinations of oral blood glucose lowering drugs
metformin and linagliptin,Combinations of oral blood glucose lowering drugs
pioglitazone and sitagliptin,Combinations of oral blood glucose lowering drugs
metformin and alogliptin,Combinations of oral blood glucose lowering drugs
metformin and repaglinide,Combinations of oral blood glucose lowering drugs
metformin and dapagliflozin,Combinations of oral blood glucose lowering drugs
metformin and canagliflozin,Combinations of oral blood glucose lowering drugs
metformin and acarbose,Combinations of oral blood glucose lowering drugs
metformin and gemigliptin,Combinations of oral blood glucose lowering drugs
linagliptin and empagliflozin,Combinations of oral blood glucose lowering drugs
metformin and empagliflozin,Combinations of oral blood glucose lowering drugs
saxagliptin and dapagliflozin,Combinations of oral blood glucose lowering drugs
metformin and evogliptin,Combinations of oral blood glucose lowering drugs
metformin and ertugliflozin,Combinations of oral blood glucose lowering drugs
sitagliptin and ertugliflozin,Combinations of oral blood glucose lowering drugs
"metformin, saxagliptin and dapagliflozin",Combinations of oral blood glucose lowering drugs
metformin and lobeglitazone,Combinations of oral blood glucose lowering drugs
acarbose,Alpha glucosidase inhibitors
miglitol,Alpha glucosidase inhibitors
voglibose,Alpha glucosidase inhibitors
troglitazone,Thiazolidinediones
rosiglitazone,Thiazolidinediones
pioglitazone,Thiazolidinediones
lobeglitazone,Thiazolidinediones
sitagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
vildagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
saxagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
alogliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
linagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
gemigliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
evogliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
teneligliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
sitagliptin and simvastatin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
gemigliptin and rosuvastatin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
exenatide,Glucagon-like peptide-1 (GLP-1) analogues
liraglutide,Glucagon-like peptide-1 (GLP-1) analogues
lixisenatide,Glucagon-like peptide-1 (GLP-1) analogues
albiglutide,Glucagon-like peptide-1 (GLP-1) analogues
dulaglutide,Glucagon-like peptide-1 (GLP-1) analogues
semaglutide,Glucagon-like peptide-1 (GLP-1) analogues
beinaglutide,Glucagon-like peptide-1 (GLP-1) analogues
dapagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
canagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
empagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
ertugliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
ipragliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
sotagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
luseogliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
guar gum,"Other blood glucose lowering drugs, excl. insulins"
repaglinide,"Other blood glucose lowering drugs, excl. insulins"
nateglinide,"Other blood glucose lowering drugs, excl. insulins"
pramlintide,"Other blood glucose lowering drugs, excl. insulins"
benfluorex,"Other blood glucose lowering drugs, excl. insulins"
mitiglinide,"Other blood glucose lowering drugs, excl. insulins"
tolrestat,Aldose reductase inhibitors
multivitamins and iron,Multivitamins with minerals
multivitamins and calcium,Multivitamins with minerals
"multivitamins and other minerals, incl. combinations",Multivitamins with minerals
multivitamins and trace elements,Multivitamins with minerals
retinol (vit a),"Vitamin A, plain"
betacarotene,"Vitamin A, plain"
ergocalciferol,Vitamin D and analogues
dihydrotachysterol,Vitamin D and analogues
alfacalcidol,Vitamin D and analogues
calcitriol,Vitamin D and analogues
colecalciferol,Vitamin D and analogues
calcifediol,Vitamin D and analogues
"colecalciferol, combinations",Vitamin D and analogues
thiamine (vit b1),"Vitamin B1, plain"
sulbutiamine,"Vitamin B1, plain"
benfotiamine,"Vitamin B1, plain"
ascorbic acid (vit c),"Ascorbic acid (vitamin C), plain"
ascorbic acid (vit c) and calcium,"Ascorbic acid (vitamin C), combinations"
nicotinamide,Other plain vitamin preparations
pyridoxine (vit b6),Other plain vitamin preparations
tocopherol (vit e),Other plain vitamin preparations
riboflavin (vit b2),Other plain vitamin preparations
biotin,Other plain vitamin preparations
pyridoxal phosphate,Other plain vitamin preparations
inositol,Other plain vitamin preparations
tocofersolan,Other plain vitamin preparations
dexpanthenol,Other plain vitamin preparations
calcium pantothenate,Other plain vitamin preparations
pantethine,Other plain vitamin preparations
calcium phosphate,Calcium
calcium glubionate,Calcium
calcium gluconate,Calcium
calcium lactate,Calcium
calcium lactate gluconate,Calcium
calcium chloride,Calcium
calcium glycerylphosphate,Calcium
calcium citrate lysine complex,Calcium
calcium glucoheptonate,Calcium
calcium pangamate,Calcium
calcium citrate,Calcium
calcium (different salts in combination),Calcium
calcium laevulate,Calcium
potassium chloride,Potassium
potassium citrate,Potassium
potassium hydrogentartrate,Potassium
potassium hydrogencarbonate,Potassium
potassium gluconate,Potassium
potassium (different salts in combination),Potassium
"potassium chloride, combinations",Potassium
sodium chloride,Sodium
zinc sulfate,Zinc
zinc gluconate,Zinc
zinc protein complex,Zinc
magnesium chloride,Magnesium
magnesium gluconate,Magnesium
magnesium aspartate,Magnesium
magnesium lactate,Magnesium
magnesium levulinate,Magnesium
magnesium pidolate,Magnesium
magnesium orotate,Magnesium
magnesium (different salts in combination),Magnesium
"fluoride, combinations",Fluoride
sodium selenate,Selenium
